Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
simulink,2385,1,15.875237703323364,3064.8125,2360.4146543560605
simulink,2385,2,15.949973106384277,3135.40625,2386.3557330827066
simulink,2385,3,17.910319089889526,2904.84375,2298.3170529801323
simulink,2385,4,17.026861906051636,2798.625,2266.0068221830984
simulink,2385,5,16.359111785888672,2976.28125,2326.8376608455883
simulink,2385,6,14.900759935379028,2936.953125,2365.692414314516
simulink,2385,7,15.253459930419922,3072.53125,2392.1109744094488
simulink,2385,8,16.40768003463745,3084.859375,2370.9200501824816
simulink,2385,9,17.885321140289307,2836.1875,2286.137708333333
simulink,2385,10,17.098597049713135,2970.5,2322.322733274648
simulink,2385,11,16.650357961654663,2923.046875,2316.66875
simulink,2385,12,15.63927412033081,2867.53125,2276.2204198473282
simulink,2385,13,15.887457132339478,3167.125,2395.8808740601503
simulink,2385,14,17.811443090438843,2801.828125,2257.146041666667
simulink,2385,15,16.886887073516846,2930.890625,2333.8999125874125
simulink,2385,16,16.95130205154419,2917.71875,2313.3475177304963
simulink,2385,17,16.019377946853638,3097.375,2350.422109962406
simulink,2385,18,16.37009882926941,2809.359375,2287.542853860294
simulink,2385,19,15.934236288070679,3136.21875,2340.3258759469695
simulink,2385,20,15.90798306465149,2872.984375,2265.4421641791046
simulink,2385,21,15.87563681602478,2927.921875,2254.0727611940297
simulink,2385,22,17.757341861724854,2871.421875,2289.8546463815787
simulink,2385,23,18.602433681488037,2820.625,2305.176953125
simulink,2385,24,16.606337070465088,2787.78125,2236.0424910071943
simulink,2385,25,17.429388999938965,2848.6875,2271.6968537414964
simulink,2385,26,15.878557920455933,2828.453125,2236.3828712406016
simulink,2385,27,15.776255130767822,3083.453125,2345.0078712406016
simulink,2385,28,16.115267992019653,2938.703125,2324.631663602941
simulink,2385,29,16.430140733718872,2865.546875,2290.1673785971225
simulink,2385,30,15.517276763916016,3078.890625,2358.322235576923
simulink,2385,31,15.494999885559082,3096.046875,2345.358540076336
simulink,2385,32,17.007769107818604,2896.03125,2311.9891493055557
simulink,2385,33,17.72409415245056,2872.59375,2226.891568791946
simulink,2385,34,18.617058038711548,2781.703125,2245.7326061320755
simulink,2385,35,17.57883596420288,2735.484375,2163.5141469594596
simulink,2385,36,17.848626852035522,2878.0,2277.855160361842
simulink,2385,37,16.93070673942566,2803.640625,2267.998046875
simulink,2385,38,17.998728036880493,2757.171875,2211.9227028145697
simulink,2385,39,16.158564805984497,2846.125,2269.7297453703704
simulink,2385,40,17.048901081085205,2752.515625,2218.534881161972
simulink,2385,41,17.19402027130127,2703.28125,2162.991914335664
simulink,2385,42,16.535440921783447,2750.53125,2231.828911870504
simulink,2385,43,17.751153230667114,2771.1875,2228.5821098993288
simulink,2385,44,14.914069890975952,3002.359375,2343.335492886179
simulink,2385,45,15.545320987701416,3039.796875,2331.0396634615386
simulink,2385,46,15.987462997436523,3018.734375,2293.7360321969695
simulink,2385,47,16.424247980117798,2743.015625,2220.125578703704
simulink,2385,48,18.464870929718018,2738.703125,2184.5973011363635
simulink,2385,49,17.11646294593811,2806.953125,2194.767075892857
simulink,2385,50,15.984598636627197,2773.09375,2236.394471153846
simulink,2385,51,16.27981209754944,2777.8125,2256.90772192029
simulink,2385,52,16.83933711051941,2890.09375,2303.309112762238
simulink,2385,53,18.26518702507019,2797.078125,2201.113898026316
simulink,2385,54,16.54899573326111,2817.90625,2272.6591435185187
simulink,2385,55,16.38533115386963,2967.890625,2313.7014142335765
simulink,2385,56,15.736893892288208,2798.125,2272.2740836466164
simulink,2385,57,16.892874240875244,2793.484375,2292.0020906690143
simulink,2385,58,16.553234815597534,2864.59375,2324.8402901785716
simulink,2385,59,16.51597285270691,2778.015625,2219.843060661765
simulink,2385,60,15.892595767974854,3057.453125,2340.632229477612
simulink,2385,61,17.655075073242188,2793.15625,2195.4758234797296
simulink,2385,62,16.610826015472412,3005.0,2314.841389388489
simulink,2385,63,17.68228316307068,2870.96875,2252.6787840136053
simulink,2385,64,15.948853015899658,2841.65625,2242.949639423077
simulink,2385,65,15.677337169647217,2843.40625,2265.8703835227275
simulink,2385,66,16.61487102508545,2946.109375,2323.1470982142855
simulink,2385,67,17.74083685874939,2815.453125,2225.2316300675675
simulink,2385,68,17.206655025482178,2775.65625,2125.582277097902
simulink,2385,69,18.258322954177856,2737.375,2190.86
simulink,2385,70,16.321587085723877,2751.859375,2271.2590277777776
simulink,2385,71,17.331103086471558,2814.375,2276.21099137931
simulink,2385,72,17.18417477607727,2764.203125,2281.552229020979
simulink,2385,73,17.56527090072632,2776.09375,2240.295068027211
simulink,2385,74,16.375004053115845,2748.875,2217.0545742753625
simulink,2385,75,17.06870198249817,2815.21875,2183.049330357143
simulink,2385,76,14.656687021255493,2806.65625,2286.7385766806724
simulink,2385,77,15.704195976257324,3171.15625,2371.4618990384615
simulink,2385,78,16.306023120880127,3125.953125,2383.9613970588234
simulink,2385,79,16.440654039382935,2853.25,2291.2673483455883
simulink,2385,80,16.06886911392212,3000.09375,2343.179166666667
simulink,2385,81,16.6004958152771,2845.59375,2293.3139613309354
